taxa1	average_pairwise_distance
OG0005807-cluster-1	0.0005911912503694945
OG0005844-cluster-1	0.0073529143324933665
OG0006091-cluster-1	0.018964949316674907
OG0006368-cluster-1	0.020248316949815423
OG0006491-cluster-1	0.029345282085802754
OG0006796-cluster-1	0.10866658955308475
OG0006796-cluster-2	0.04617825488971989
OG0007047-cluster-1	0.008963215893217448
OG0008020-cluster-1	0.07151044155856168
OG0008020-cluster-2	0.08358197031596439
OG0008020-cluster-3	0.08352225757867439
OG0008020-cluster-4	0.0
OG0008155-cluster-1	0.012156228018613383
OG0010951-cluster-1	0.011220681584589857
OG0010952-cluster-1	0.0041862711780213824
OG0011802-cluster-1	0.0030568407138136158
OG0011803-cluster-1	0.008478001607967287
OG0011915-cluster-1	0.0011764705882352947
OG0012696-cluster-1	0.01799627295704345
OG0012769-cluster-1	0.0
OG0013152-cluster-1	0.0123392097592803
OG0013405-cluster-1	0.02637721755368813
OG0013406-cluster-1	0.006241032998565285
OG0013407-cluster-1	0.011322838994752824
OG0013442-cluster-1	0.005760458612288079
OG0013498-cluster-1	0.0069811609298756315
OG0013499-cluster-1	0.0053059887779819265
OG0014796-cluster-1	0.010587809497303658
OG0015005-cluster-1	0.026215863778712267
OG0015198-cluster-1	0.00450755014649538
OG0015547-cluster-1	0.030607399491158212
OG0015548-cluster-1	0.016427444154337105
OG0015574-cluster-1	0.02499342809055735
OG0015574-cluster-2	0.00866442312521975
OG0015593-cluster-1	0.009563784549964578
OG0015839-cluster-1	0.00251708567244325
OG0016053-cluster-1	0.007721914003378292
OG0016666-cluster-1	0.005181300461361007
OG0016921-cluster-2	0.03962855700972528
OG0017534-cluster-1	0.004750852252121566
OG0018542-cluster-1	0.011920907225099604
OG0018542-cluster-2	0.07162689314034787
OG0018568-cluster-1	0.009256204205008754
OG0019389-cluster-1	0.012861078814083871
OG0019483-cluster-1	0.01932220157267266
OG0019832-cluster-1	0.00363321799307958
OG0019838-cluster-1	0.007364310267712806
OG0019839-cluster-1	0.019676891465568214
OG0019848-cluster-1	0.01667157456907466
OG0019864-cluster-1	0.022203114181891095
OG0019997-cluster-1	0.010327262577628914
OG0020673-cluster-1	0.002873564826943302
OG0021217-cluster-1	0.023352580521698182
OG0021524-cluster-1	0.01591969325687964
OG0021524-cluster-2	0.0
OG0021549-cluster-1	0.005294697132379138
OG0021550-cluster-1	0.016961385781306376
OG0021709-cluster-1	0.02554239258163436
OG0021832-cluster-1	0.0034125188536953243
OG0021971-cluster-1	0.00769045684864081
OG0022074-cluster-1	0.1634570109689116
OG0022105-cluster-1	0.0061526475309947055
OG0022123-cluster-1	0.07240972094743017
OG0023021-cluster-1	0.011880851760152536
OG0023021-cluster-2	0.003437738731856379
OG0023021-cluster-3	0.004210526315789473
OG0023297-cluster-1	0.012512512699584328
OG0023378-cluster-1	0.016699474390829225
OG0023387-cluster-1	0.013455132828011121
OG0023427-cluster-1	0.06643702343076426
OG0023428-cluster-1	0.014054267501240688
OG0023430-cluster-1	0.014649131100051793
OG0023431-cluster-1	0.013417091478720295
OG0023442-cluster-1	0.012565098297374218
OG0023520-cluster-1	0.03216828902239576
OG0023585-cluster-1	0.02744548241274278
OG0024303-cluster-1	0.014415416636053282
OG0024327-cluster-1	0.07997110113827394
OG0024577-cluster-1	0.025671096575588782
OG0024577-cluster-3	0.006422607578676943
OG0024718-cluster-1	0.0018769551616266934
OG0024737-cluster-1	0.006516809887998222
OG0024796-cluster-1	0.026492006525246567
OG0024871-cluster-1	0.015117157974300827
OG0024872-cluster-1	0.0022850882341432883
OG0024873-cluster-1	0.01093007259504757
OG0025119-cluster-1	0.01919642857142856
OG0025335-cluster-1	0.01774427679381268
OG0025459-cluster-1	0.0019371804470206494
OG0025696-cluster-1	0.025126765936226272
OG0025698-cluster-1	0.0070135624462740465
OG0025988-cluster-1	0.028239780787062015
OG0026280-cluster-1	0.0036956000146184218
OG0026588-cluster-1	0.04045236124707407
OG0026679-cluster-1	0.007556594806685915
OG0026883-cluster-1	0.009409930899234276
OG0026885-cluster-1	0.01760816775388062
OG0026885-cluster-2	0.013627465635922298
OG0026932-cluster-1	0.014357339814656887
OG0027371-cluster-1	0.01400849719077312
OG0027388-cluster-1	0.02841642607558199
OG0027416-cluster-1	0.022519806642268245
OG0027597-cluster-1	0.009234355388201533
OG0027812-cluster-1	0.10484362307067426
OG0027812-cluster-2	0.1557265153283657
OG0027865-cluster-1	0.003967013642380319
OG0028014-cluster-1	0.017454545454545462
OG0028136-cluster-1	0.05035173925616815
OG0028254-cluster-1	0.0027055504520124857
OG0028263-cluster-1	0.008540814299877313
OG0028568-cluster-2	0.09715853513402556
OG0028634-cluster-2	0.012048192771084338
OG0028634-cluster-3	0.0
OG0028696-cluster-1	0.008575464083938663
OG0028776-cluster-1	0.008140870561890752
OG0028831-cluster-1	0.01298701298701299
OG0028982-cluster-1	0.002531645569620253
OG0029186-cluster-1	0.06756377135627228
OG0029352-cluster-1	0.009853184371587631
OG0029352-cluster-2	0.001876172607879925
OG0029450-cluster-2	0.0051627384960718295
OG0029600-cluster-1	0.08291818356006898
OG0029617-cluster-1	0.008447212131695784
OG0029676-cluster-2	0.03213063078062293
OG0029812-cluster-2	0.006878761822871882
OG0029924-cluster-1	0.001680672268907563
OG0029925-cluster-1	0.002989536621823617
OG0030054-cluster-2	0.0
OG0030293-cluster-1	0.13239468230839538
OG0030374-cluster-1	0.005044850972642744
OG0030498-cluster-1	0.005779714124632173
OG0030504-cluster-1	0.005852690833713736
OG0030602-cluster-1	0.005427974947807933
OG0030626-cluster-1	0.01231576324157588
OG0030628-cluster-1	0.0
OG0030791-cluster-1	0.0
OG0030880-cluster-1	0.0868362669114748
OG0031048-cluster-1	0.01840948419331763
OG0031049-cluster-1	0.001834862385321101
OG0031265-cluster-1	0.00674373795761079
OG0031513-cluster-1	0.0
OG0031515-cluster-1	0.007444168734491315
OG0031884-cluster-1	0.0
OG0032491-cluster-1	0.0016863406408094434
OG0032740-cluster-1	0.0022727272727272726
OG0032743-cluster-1	0.0020597322348094747
OG0032744-cluster-1	0.004796163069544364
OG0032895-cluster-1	0.011198208286674132
OG0033001-cluster-1	0.000968054211035818
OGbroad_a-cluster-1	0.053215677184407825
OGbroad_b-cluster-1	0.03006603350667183
OGbroad_b-cluster-2	0.010371106740354552
