#id	length	evalue	coverge	probability	score
VANDAL2|Class_II/Subclass_1/TIR/MULE:MULE-TPase	172	1.6e-42	99.5	0.97	0.74
VANDAL20|Class_II/Subclass_1/TIR/MULE:MULE-TPase	112	1e-14	33.7	0.83	0.25
VANDAL21|Class_II/Subclass_1/TIR/MULE:MULE-TPase	72	9.7e-09	20.7	0.82	0.14
VANDAL22|Class_II/Subclass_1/TIR/MULE:MULE-TPase	111	2.6e-25	55.4	0.96	0.43
VANDAL3|Class_II/Subclass_1/TIR/MULE:MULE-TPase	128	1.4e-24	74.5	0.96	0.42
VANDAL4|Class_II/Subclass_1/TIR/MULE:MULE-TPase	78	3.8e-06	39.7	0.85	0.09
VANDAL5|Class_II/Subclass_1/TIR/MULE:MULE-TPase	89	8.6e-27	48.4	0.98	0.46
VANDAL5A|Class_II/Subclass_1/TIR/MULE:MULE-TPase	172	4.2e-42	99.5	0.98	0.73
VANDAL6|Class_II/Subclass_1/TIR/MULE:MULE-TPase	132	1.3e-23	67.9	0.9	0.4
VANDAL7|Class_II/Subclass_1/TIR/MULE:MULE-TPase	175	9.5e-43	99.5	0.97	0.74
VANDAL8|Class_II/Subclass_1/TIR/MULE:MULE-TPase	105	1.5e-14	52.2	0.9	0.24
VANDAL9|Class_II/Subclass_1/TIR/MULE:MULE-TPase	85	1.2e-16	42.9	0.97	0.28
