#id	length	evalue	coverge	probability	score
TE_00003535#DNA/Helitron|Class_I/LINE:LINE-RH	107	5.3e-17	93.9	0.84	0.49
cluster_0#DNA/Helitron|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	4.4e-49	100.0	0.99	1.26
cluster_0#DNA/Helitron|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	260	6.1e-111	100.0	0.96	1.41
cluster_0#DNA/Helitron|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	196	6.8e-76	100.0	0.96	1.26
cluster_0#DNA/Helitron|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	34	1.3e-08	46.4	0.96	0.42
cluster_0#DNA/Helitron|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	109	4.1e-24	95.6	0.92	0.86
cluster_1#DNA/Helitron|Class_II/Subclass_1/TIR/MuDR_Mutator:MuDR-TPase	104	7.9e-22	57.1	0.96	0.4
cluster_1#DNA/Helitron|Class_I/LTR/Ty1_copia/TAR:Ty1-GAG	91	2.4e-20	98.9	0.96	0.74
cluster_100#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL2	189	1.9e-58	38.8	0.94	0.43
cluster_100#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL1	376	8.5e-124	64.0	0.96	0.76
cluster_112#DNA/Helitron|Class_II/Subclass_1/TIR/MuDR_Mutator:MuDR-TPase	174	5.9e-58	96.0	0.98	1.07
cluster_112#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL1	228	4.1e-49	39.0	0.88	0.3
cluster_1133#DNA/Helitron|Class_I/LINE:LINE-RH	98	1.2e-18	77.4	0.94	0.53
cluster_114#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL2	476	2.6e-184	100.0	0.98	1.35
cluster_114#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL1	240	2.9e-85	36.8	0.92	0.52
cluster_121#DNA/Helitron|Class_I/LINE:LINE-RH	114	1.5e-26	99.1	0.99	0.75
cluster_13#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-GAG	90	8.4e-30	100.0	0.99	1.07
cluster_13#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-PROT	47	3.9e-15	62.5	0.97	0.69
cluster_13#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-INT	152	1.3e-51	76.1	0.97	0.86
cluster_13#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-RT	164	5.5e-69	61.9	0.99	0.87
cluster_13#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-RH	126	5.2e-52	100.0	0.98	1.34
cluster_137#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL1	194	4.5e-63	31.7	0.95	0.39
cluster_137#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL2	299	1.2e-87	56.8	0.98	0.64
cluster_143#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL2	248	7.7e-83	52.8	0.94	0.6
cluster_143#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL1	222	5.8e-76	36.4	0.98	0.47
cluster_157#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-GAG	81	6.6e-26	83.3	0.97	0.93
cluster_157#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-PROT	72	1e-27	100.0	1.0	1.25
cluster_157#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-INT	198	2.7e-92	99.5	0.99	1.53
cluster_157#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-RT	259	2e-122	99.6	0.99	1.54
cluster_157#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-RH	122	1.2e-57	92.9	0.98	1.48
cluster_16#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL1	300	4.5e-92	46.5	0.98	0.56
cluster_16#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL2	271	3.7e-107	57.9	0.99	0.78
cluster_164#DNA/Helitron|Class_II/Subclass_1/TIR/hAT:hAT-TPase	169	2.4e-41	34.9	0.9	0.33
cluster_169#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-RH	105	6.8e-42	82.5	0.98	1.08
cluster_169#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-RT	145	3.8e-53	53.5	0.97	0.67
cluster_169#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-INT	165	7.1e-62	81.7	0.97	1.03
cluster_169#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-PROT	72	1.6e-28	98.6	0.99	1.28
cluster_169#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-GAG	90	3.7e-26	100.0	0.97	0.94
cluster_17#DNA/Helitron|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	108	5.7e-25	95.6	0.94	0.89
cluster_17#DNA/Helitron|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	68	2.3e-20	100.0	0.98	0.96
cluster_17#DNA/Helitron|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	194	2.4e-76	100.0	0.97	1.27
cluster_17#DNA/Helitron|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	260	1.8e-109	100.0	0.97	1.39
cluster_17#DNA/Helitron|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	126	3e-55	100.0	1.0	1.41
cluster_172#DNA/Helitron|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	123	1.9e-48	96.1	0.99	1.24
cluster_172#DNA/Helitron|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	259	3.7e-109	100.0	0.97	1.39
cluster_172#DNA/Helitron|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	193	9.4e-77	100.0	0.96	1.27
cluster_172#DNA/Helitron|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	68	1.9e-22	100.0	0.98	1.06
cluster_172#DNA/Helitron|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	104	1.8e-20	86.8	0.96	0.73
cluster_2#DNA/Helitron|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	74	2.7e-19	100.0	0.94	0.83
cluster_2#DNA/Helitron|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	189	1.5e-79	59.7	0.98	0.85
cluster_2#DNA/Helitron|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	80	3.4e-26	49.7	0.96	0.59
cluster_2#DNA/Helitron|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	143	6.8e-64	79.8	0.97	1.2
cluster_2#DNA/Helitron|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	1e-21	100.0	1.0	0.95
cluster_2#DNA/Helitron|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	117	1e-25	100.0	0.99	0.72
cluster_20#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL1	601	2.5e-213	99.6	0.94	1.31
cluster_20#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL2	274	7.4e-110	57.9	0.99	0.8
cluster_21#DNA/Helitron|Class_II/Subclass_1/TIR/PIF_Harbinger:Harbinger-TPase	119	5.6e-15	74.8	0.84	0.35
cluster_21#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-GAG	90	1.2e-28	100.0	0.99	1.03
cluster_21#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-PROT	72	1.8e-31	100.0	1.0	1.42
cluster_21#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-RT	156	4.8e-68	58.8	0.99	0.86
cluster_21#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-RH	107	6.5e-46	81.0	0.99	1.18
cluster_22#DNA/Helitron|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-INT	133	5.3e-54	42.5	0.98	0.57
cluster_22#DNA/Helitron|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-GAG	128	3.6e-29	100.0	0.97	0.74
cluster_22#DNA/Helitron|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-PROT	71	9.6e-19	92.4	0.99	0.77
cluster_23#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-GAG	90	1.2e-28	100.0	0.99	1.03
cluster_23#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-PROT	72	1.8e-31	100.0	1.0	1.42
cluster_23#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-INT	198	9.5e-83	100.0	0.98	1.37
cluster_23#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-RT	156	2.7e-67	58.8	0.99	0.85
cluster_23#DNA/Helitron|Class_I/LTR/Ty1_copia/Tork:Ty1-RH	107	1.6e-46	81.0	0.99	1.2
cluster_27#DNA/Helitron|Class_I/LINE:LINE-RH	114	1.7e-20	99.1	0.96	0.58
cluster_27#DNA/Helitron|Class_I/LINE:LINE-RT	259	1.1e-91	93.0	0.97	1.1
cluster_27#DNA/Helitron|Class_I/LINE:LINE-ENDO	214	2.1e-42	97.3	0.89	0.63
cluster_274#DNA/Helitron|Class_I/LINE:LINE-RH	114	1.5e-23	100.0	0.94	0.67
cluster_31#DNA/Helitron|Class_II/Subclass_1/TIR/PIF_Harbinger:Harbinger-TPase	141	1.8e-30	99.3	0.94	0.7
cluster_32#DNA/Helitron|Class_I/LINE:LINE-RH	114	8.4e-20	99.1	0.96	0.56
cluster_32#DNA/Helitron|Class_I/LINE:LINE-RT	253	5.8e-92	90.8	0.98	1.1
cluster_32#DNA/Helitron|Class_I/LINE:LINE-ENDO	217	1.7e-43	100.0	0.89	0.64
cluster_4#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL1	245	2.9e-94	36.6	0.95	0.58
cluster_4#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL2	289	3e-116	60.8	0.98	0.85
cluster_4#DNA/Helitron|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-GAG	128	8.1e-54	100.0	0.99	1.37
cluster_4#DNA/Helitron|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-PROT	76	6.7e-26	94.9	0.98	1.06
cluster_53#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL2	271	2.2e-105	58.5	0.98	0.77
cluster_53#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL1	436	3.9e-146	71.3	0.97	0.9
cluster_56#DNA/Helitron|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-CHDCR	35	6.7e-09	50.9	0.94	0.52
cluster_56#DNA/Helitron|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-PROT	77	1.2e-26	100.0	0.98	1.09
cluster_56#DNA/Helitron|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-RT	192	4.4e-106	100.0	0.99	1.8
cluster_56#DNA/Helitron|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-RH	134	1.2e-69	89.9	0.99	1.52
cluster_56#DNA/Helitron|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-INT	313	3.2e-158	100.0	1.0	1.66
cluster_60#DNA/Helitron|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	56	6.3e-11	43.4	0.96	0.3
cluster_60#DNA/Helitron|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-PROT	76	3.2e-15	100.0	0.95	0.63
cluster_60#DNA/Helitron|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-aRH	120	1e-26	99.2	0.9	0.72
cluster_60#DNA/Helitron|Class_I/LINE:LINE-RT	272	4.2e-94	100.0	0.98	1.13
cluster_63#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL2	253	7.5e-82	47.7	0.99	0.6
cluster_63#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL1	250	2.3e-81	39.0	0.97	0.5
cluster_66#DNA/Helitron|Class_II/Subclass_1/TIR/hAT:hAT-TPase	461	5.4e-118	100.0	0.9	0.95
cluster_68#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL1	264	1.7e-80	44.0	0.91	0.49
cluster_68#DNA/Helitron|Class_II/Subclass_1/TIR/PIF_Harbinger:Harbinger-TPase	142	2.7e-35	99.3	0.96	0.81
cluster_70#DNA/Helitron|Class_II/Subclass_1/TIR/MuDR_Mutator:MuDR-TPase	70	2.6e-18	30.5	0.91	0.34
cluster_73#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL2	479	1.2e-182	100.0	0.99	1.33
cluster_770#DNA/Helitron|Class_II/Subclass_2/Helitron:Helitron-HEL1	140	3.5e-34	23.5	0.97	0.21
cluster_821#DNA/Helitron|Class_I/LINE:LINE-RT	221	9.6e-64	79.1	0.94	0.76
cluster_90#DNA/Helitron|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	74	3.5e-15	100.0	0.92	0.65
cluster_90#DNA/Helitron|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	90	8e-29	22.7	0.92	0.31
cluster_940#DNA/Helitron|Class_I/LINE:LINE-RH	114	1e-26	100.0	0.98	0.76
